datapoint averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
53 100 10 3.02040359 0.060108434 2.46675 -0.00191736 1.97548 2.60717 3.42113 3.25018 3.56877 -1.14103 4.91355 -9.0234 -10.6457 -0.0318984 0.0496655 0.0702972 -23.2743 10.6565 2.08181 -2.72785 7.652433 0.148272 -0.225585 -0.266142 3204.86
54 100 10 3.080468921 0.060065331 2.46435 -0.0024035 1.97577 2.60518 3.42113 3.25018 3.95133 0.382566 4.91299 -13.3573 -4.33392 -0.0400147 0.045664 -0.00811634 -23.2743 10.6565 2.08181 -2.72785 7.800455 0.148022 -0.333933 -0.108348 3201.74
55 100 10 3.139442407 0.058973486 2.43735 -0.026994 1.97604 2.60365 3.42113 3.25018 4.19157 0.240239 4.91256 -37.2558 -23.8985 -0.457731 -0.000109068 -0.417716 -23.2743 10.6565 2.08181 -2.72785 7.944194 0.143739 -0.931396 -0.597463 3166.67
56 100 10 3.190390069 0.050947662 2.43735 0 1.97631 2.60207 3.42113 3.25018 4.99385 0.802282 4.91261 -28.735 8.52088 0 -0.000109068 0.457731 -23.2743 10.6565 2.08181 -2.72785 8.068371 0.124177 -0.718374 0.213022 3166.67
57 100 10 3.250516648 0.060126579 2.43735 0 1.97658 2.60101 3.42113 3.25018 7.41533 2.42147 4.91407 -28.0371 0.697856 0 -0.000109068 0 -23.2743 10.6565 2.08181 -2.72785 8.214921 0.14655 -0.700927 0.0174464 3166.67
58 100 10 3.309394038 0.05887739 2.48272 0.0453725 1.97687 2.59996 3.42113 3.25018 6.15511 -1.26022 4.9148 6.35968 34.3968 0.770627 0.0769536 0.770627 -23.2743 10.6565 2.08181 -2.72785 8.361097 0.146176 0.158992 0.859919 3225.62
59 100 10 3.360130563 0.050736525 2.48774 0.00501442 1.97717 2.59962 3.42113 3.25018 6.47458 0.319474 4.91571 -8.93713 -15.2968 0.0988325 0.0868369 -0.671794 -23.2743 10.6565 2.08181 -2.72785 8.487316 0.126219 -0.223428 -0.38242 3232.13
60 100 10 3.419862996 0.059732433 2.43735 -0.0503869 1.97744 2.59858 3.42113 3.25018 12.1728 5.6982 4.91994 -31.5742 -22.6371 -0.843544 0.0024825 -0.942376 -23.2743 10.6565 2.08181 -2.72785 8.632905 0.145589 -0.789355 -0.565927 3166.67
61 100 10 3.470242912 0.050379916 2.43735 0 1.97771 2.59789 3.42113 3.25018 12.4571 0.284329 4.92433 -31.4224 0.151753 0 -0.0605924 0.843544 -23.2743 10.6565 2.08181 -2.72785 8.755699 0.122794 -0.785561 0.00379384 3166.67
62 100 10 3.529972497 0.059729585 2.43735 0 1.97797 2.59728 3.42113 3.25018 10.7406 -1.71651 4.92771 -30.6875 0.734887 0 -0.0503728 0 -23.2743 10.6565 2.08181 -2.72785 8.901281 0.145582 -0.767189 0.0183722 3166.67
63 100 10 3.580380477 0.05040798 2.43735 0 1.97824 2.59663 3.42113 3.25018 10.548 -0.192576 4.93098 -29.117 1.57058 0 -0.047183 0 -23.2743 10.6565 2.08181 -2.72785 9.024143 0.122862 -0.727924 0.0392644 3166.67
64 100 10 3.640961906 0.060581429 2.43735 0 1.97851 2.59512 3.42113 3.25018 8.92852 -1.6195 4.9333 -25.7498 3.36714 0 -0.0431815 0 -23.2743 10.6565 2.08181 -2.72785 9.171801 0.147658 -0.643746 0.0841784 3166.67
65 100 10 3.700317569 0.059355663 2.55664 0.119285 1.97884 2.59576 3.42113 3.25018 9.33924 0.410711 4.93586 -14.4545 11.2953 2.00966 0.203557 2.00966 -23.2743 10.6565 2.08181 -2.72785 9.323552 0.151751 -0.361362 0.282384 3321.64
66 100 10 3.761135767 0.060818198 2.63622 0.0795836 1.97922 2.59775 3.42113 3.25018 8.65235 -0.686889 4.93802 -2.27358 12.1809 1.30855 0.334412 -0.701109 -23.2743 10.6565 2.08181 -2.72785 9.483882 0.16033 -0.0568394 0.304523 3425.04
67 100 10 3.819694116 0.058558349 2.7152 0.0789843 1.97965 2.60012 3.42113 3.25018 8.02485 -0.627498 4.93981 7.7523 10.0259 1.34881 0.469294 0.0402631 -23.2743 10.6565 2.08181 -2.72785 9.64288 0.158998 0.193808 0.250647 3527.66
68 100 10 3.879703926 0.06000981 2.83447 0.119265 1.98015 2.60368 3.42113 3.25018 7.8806 -0.14425 4.94152 19.1419 11.3896 1.98742 0.590973 0.638609 -23.2743 10.6565 2.08181 -2.72785 9.812976 0.170096 0.478548 0.28474 3682.61
69 100 10 3.939968554 0.060264628 2.73582 -0.0986464 1.98059 2.60667 3.42113 3.25018 7.92651 0.045915 4.94325 22.5526 3.41068 -1.63689 0.417401 -3.62431 -23.2743 10.6565 2.08181 -2.72785 9.977849 0.164873 0.563815 0.0852671 3554.45
70 100 10 3.990253301 0.050284747 2.51264 -0.223182 1.98089 2.60742 3.42113 3.25018 8.33257 0.406056 4.94521 23.5174 0.964823 -4.43837 0.0579184 -2.80149 -23.2743 10.6565 2.08181 -4.43837 10.104196 0.126347 0.587935 0.0241206 3264.48
71 100 10 4.050859178 0.060605877 2.51676 0.00412321 1.9812 2.60821 3.42113 3.25018 8.20639 -0.126175 4.9471 20.4991 -3.01831 0.0680332 0.0647217 4.50641 -23.2743 10.6565 2.08181 -4.43837 10.256727 0.152531 0.512478 -0.0754578 3269.84
72 100 10 4.10938303 0.058523852 2.67622 0.159458 1.98161 2.61018 3.42113 3.25018 8.48202 0.275623 4.94915 2.27281 -18.2263 2.72467 0.337189 2.65664 -23.2743 10.6565 2.72467 -4.43837 10.41335 0.156623 0.0568202 -0.455657 3477.01
73 100 10 4.15978237 0.05039934 2.7156 0.0393801 1.98203 2.61147 3.42113 3.25018 7.49213 -0.989884 4.95062 -3.03448 -5.30729 0.781361 0.415325 -1.94331 -23.2743 10.6565 2.72467 -4.43837 10.550215 0.136865 -0.075862 -0.132682 3528.18
