x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
43 100 10 2.48 0.060000000 6.54663 0.234173 4.60066 4.52472 6.54663 6.54663 8.18754 0.0198093 6.43112 -0.789344 2.81519 3.90289 3.37043 -0.757085 -5.16316 8.19672 8.19672 -5.16316 12.867592 0.392798 -0.0197336 0.0703797 8505.53
44 100 10 2.532 0.052000000 6.30137 -0.24525 4.63216 4.55703 6.54663 6.54663 8.23552 0.0479804 6.46453 -3.31678 -2.52744 -4.71635 3.19913 -8.61924 -5.16316 8.19672 8.19672 -5.16316 13.195263 0.327671 -0.0829196 -0.063186 8186.9
45 100 10 2.591 0.059000000 6.06984 -0.231539 4.6583 4.58404 6.54663 6.54663 8.15308 -0.0824361 6.49524 -3.23254 0.0842482 -3.92439 2.68356 0.791965 -5.16316 8.19672 8.19672 -5.16316 13.553383 0.35812 -0.0808134 0.0021062 7886.08
46 100 10 2.651 0.060000000 6.33651 0.266673 4.68826 4.61479 6.54663 6.54663 7.8302 -0.322887 6.51907 4.34947 7.58201 4.44454 2.64047 8.36893 -5.16316 8.19672 8.19672 -5.16316 13.933574 0.380191 0.108737 0.18955 8232.54
47 100 10 2.711 0.060000000 6.63081 0.2943 4.72234 4.64954 6.63081 6.63081 7.73832 -0.0918737 6.54046 3.1973 -1.15217 4.905 2.68735 0.460458 -5.16316 8.19672 8.19672 -5.16316 14.331423 0.397849 0.0799324 -0.0288044 8614.91
48 100 10 2.771 0.060000000 6.76276 0.131948 4.75752 4.68536 6.76276 6.76276 7.82025 0.081932 6.56253 -6.72489 -9.92219 2.19914 2.46975 -2.70586 -5.16316 8.19672 8.19672 -5.16316 14.737188 0.405765 -0.168122 -0.248055 8786.34
49 100 10 2.83 0.059000000 6.53143 -0.231324 4.78759 4.71613 6.76276 6.76276 7.80862 -0.011638 6.58365 -3.61789 3.107 -3.92074 1.62721 -6.11988 -5.16316 8.19672 8.19672 -5.16316 15.122543 0.385355 -0.0904472 0.0776751 8485.8
50 100 10 2.89 0.060000000 6.23713 -0.2943 4.81175 4.74106 6.76276 6.76276 7.33738 -0.471241 6.59621 1.00678 4.62467 -4.90499 0.708812 -0.984252 -5.16316 8.19672 8.19672 -5.16316 15.496771 0.374228 0.0251694 0.115617 8103.43
51 100 10 2.951 0.061000000 6.1733 -0.0638351 4.83407 4.76416 6.76276 6.76276 6.96271 -0.374666 6.60222 6.89521 5.88844 -1.04648 0.15986 3.85852 -5.16316 8.19672 8.19672 -5.16316 15.873342 0.376571 0.17238 0.147211 8020.5
52 100 10 3.011 0.060000000 6.12022 -0.053081 4.85481 4.78569 6.76276 6.76276 6.60345 -0.359264 6.60224 2.11511 -4.78011 -0.884684 -0.394606 0.161794 -5.16316 8.19672 8.19672 -5.16316 16.240555 0.367213 0.0528776 -0.119503 7951.53
53 100 10 3.071 0.060000000 6.01851 -0.101705 4.87328 4.80495 6.76276 6.76276 4.10816 -2.49528 6.56265 0.559481 -1.55562 -1.69508 -0.954402 -0.810393 -5.16316 8.19672 8.19672 -5.16316 16.601666 0.361111 0.013987 -0.0388906 7819.4
54 100 10 3.131 0.060000000 5.72421 -0.2943 4.88658 4.81909 6.76276 6.76276 4.24555 0.137385 6.52645 -0.400885 -0.960367 -4.905 -0.973267 -3.20992 -5.16316 8.19672 8.19672 -5.16316 16.945119 0.343453 -0.0100221 -0.0240092 7437.04
55 100 10 3.19 0.059000000 5.42991 -0.2943 4.89494 4.82835 6.76276 6.76276 4.32567 0.0801255 6.49259 -0.145681 0.255204 -4.98814 -1.07964 -0.0831356 -5.16316 8.19672 8.19672 -5.16316 17.265484 0.320365 -0.00364203 0.00638011 7054.67
56 100 10 3.242 0.052000000 5.17976 -0.250155 4.89925 4.83359 6.76276 6.76276 4.90609 0.580414 6.46855 -1.49383 -1.34815 -4.81067 -2.00516 0.177464 -5.16316 8.19672 8.19672 -5.16316 17.534831 0.269347 -0.0373457 -0.0337037 6729.67
57 100 10 3.301 0.059000000 4.89036 -0.289395 4.89912 4.83443 6.76276 6.76276 4.86215 -0.0439396 6.44457 -2.37992 -0.886095 -4.905 -2.98616 -0.094325 -5.16316 8.19672 8.19672 -5.16316 17.823362 0.288531 -0.0594981 -0.0221524 6353.68
58 100 10 3.361 0.060000000 4.59606 -0.2943 4.89467 4.83097 6.76276 6.76276 4.9028 0.0406501 6.4219 -2.96342 -0.583495 -4.905 -3.69658 -3.77159e-06 -5.16316 8.19672 8.19672 -5.16316 18.099126 0.275764 -0.0740855 -0.0145874 5971.32
59 100 10 3.42 0.059000000 4.57692 -0.0191422 4.89006 4.82735 6.76276 6.76276 5.00774 0.104939 6.40141 -6.49507 -3.53165 -0.324443 -3.33695 4.58056 -5.16316 8.19672 8.19672 -5.16316 18.369164 0.270038 -0.162377 -0.0882912 5946.45
