Datapoint;Time;TimeDelta;Speed;SpeedDelta;SpeedAverage;Maxspeed;MaxspeedDelta;MaxspeedAverage;Angle;AngleDelta;Acceleration;AccelerationDelta;Distance;DistanceDelta
35263;1767.25;0.05;7.17;0.10;5.19;7.32;0.26;4.85;-0.04;-0.03;2.01;-3.45;9152.15;0.35
35264;1767.31;0.06;7.48;0.31;5.19;7.64;0.32;4.85;-0.05;-0.01;5.67;3.67;9152.56;0.41
35265;1767.35;0.05;7.51;0.03;5.19;7.79;0.15;4.85;-0.04;0.01;0.64;-5.04;9152.90;0.35
35266;1767.39;0.04;7.83;0.32;5.19;8.04;0.25;4.85;0.00;0.04;7.33;6.69;9153.25;0.34
35267;1767.45;0.06;8.10;0.27;5.19;8.27;0.23;4.85;0.03;0.03;4.93;-2.40;9153.69;0.45
35268;1767.50;0.05;8.29;0.19;5.19;8.58;0.31;4.85;0.05;0.02;3.75;-1.17;9154.11;0.41
35269;1767.55;0.05;8.56;0.27;5.19;8.84;0.26;4.85;-0.01;-0.06;5.19;1.44;9154.55;0.45
35270;1767.60;0.05;8.86;0.30;5.19;9.09;0.26;4.85;-0.05;-0.04;6.22;1.03;9154.98;0.43
35271;1767.65;0.05;9.06;0.20;5.19;9.26;0.16;4.85;-0.03;0.02;4.05;-2.17;9155.43;0.45
35272;1767.71;0.06;9.34;0.27;5.19;9.59;0.33;4.85;0.02;0.06;4.70;0.65;9155.97;0.54
35273;1767.75;0.04;9.53;0.20;5.19;9.76;0.17;4.85;0.01;-0.01;4.68;-0.02;9156.37;0.40
35274;1767.80;0.05;9.80;0.27;5.19;10.02;0.26;4.85;-0.03;-0.05;5.29;0.62;9156.87;0.50
35275;1767.85;0.05;9.95;0.14;5.19;10.27;0.25;4.85;-0.05;-0.02;2.95;-2.35;9157.36;0.49
35276;1767.90;0.05;10.19;0.24;5.19;10.52;0.25;4.85;-0.02;0.03;4.82;1.87;9157.87;0.51
35277;1767.95;0.05;10.44;0.25;5.19;10.52;-0.00;4.85;-0.00;0.02;4.94;0.12;9158.40;0.53
35278;1768.00;0.05;10.48;0.04;5.19;10.02;-0.49;4.85;0.03;0.03;0.79;-4.16;9158.92;0.51
35279;1768.05;0.05;10.38;-0.10;5.19;9.69;-0.33;4.85;0.01;-0.02;-1.91;-2.69;9159.45;0.53
35280;1768.10;0.05;9.98;-0.40;5.19;8.99;-0.70;4.85;-0.01;-0.01;-8.18;-6.27;9159.94;0.49
35281;1768.15;0.06;9.80;-0.18;5.19;8.52;-0.47;4.85;0.00;0.01;-3.35;4.83;9160.47;0.54
35282;1768.20;0.05;9.72;-0.08;5.19;8.19;-0.33;4.85;0.00;0.00;-1.70;1.65;9160.91;0.44
35283;1768.25;0.05;9.20;-0.52;5.19;7.25;-0.93;4.85;-0.01;-0.01;-10.38;-8.69;9161.37;0.46
35284;1768.30;0.05;9.13;-0.07;5.19;6.63;-0.62;4.85;-0.02;-0.01;-1.46;8.92;9161.83;0.46
35285;1768.36;0.06;8.80;-0.33;5.19;6.37;-0.26;4.85;-0.02;0.01;-5.71;-4.25;9162.34;0.51
35286;1768.40;0.05;8.61;-0.18;5.19;5.89;-0.49;4.85;-0.02;-0.01;-3.91;1.80;9162.74;0.40
35287;1768.45;0.05;8.37;-0.24;5.19;5.48;-0.40;4.85;-0.04;-0.01;-5.32;-1.41;9163.12;0.38
35288;1768.51;0.06;8.29;-0.09;5.19;5.27;-0.21;4.85;-0.07;-0.03;-1.51;3.81;9163.59;0.47
35289;1768.55;0.04;8.03;-0.26;5.19;5.15;-0.11;4.85;-0.08;-0.01;-5.73;-4.23;9163.95;0.36
35290;1768.60;0.05;7.76;-0.26;5.19;4.75;-0.40;4.85;-0.13;-0.05;-5.40;0.34;9164.33;0.38
35291;1768.65;0.05;7.67;-0.09;5.19;4.46;-0.29;4.85;-0.16;-0.03;-1.85;3.55;9164.71;0.38
35292;1768.70;0.05;7.24;-0.43;5.19;4.31;-0.15;4.85;-0.20;-0.04;-8.61;-6.76;9165.07;0.36
35293;1768.75;0.05;7.06;-0.19;5.19;4.55;0.24;4.85;-0.23;-0.04;-3.67;4.94;9165.43;0.36
35294;1768.81;0.05;6.99;-0.07;5.19;4.34;-0.20;4.85;-0.29;-0.06;-1.21;2.46;9165.81;0.38
35295;1768.85;0.05;6.42;-0.58;5.19;3.93;-0.41;4.85;-0.32;-0.02;-11.98;-10.77;9166.12;0.31
35296;1768.90;0.05;6.14;-0.28;5.19;3.77;-0.17;4.85;-0.35;-0.03;-5.64;6.35;9166.42;0.30
35297;1768.95;0.05;5.91;-0.23;5.19;3.88;0.11;4.85;-0.39;-0.04;-4.75;0.88;9166.70;0.28
35298;1769.01;0.06;5.89;-0.02;5.19;4.14;0.27;4.85;-0.41;-0.02;-0.28;4.47;9167.06;0.35
35299;1769.05;0.04;5.54;-0.35;5.19;4.30;0.15;4.85;-0.42;-0.02;-8.42;-8.14;9167.29;0.23
35300;1769.10;0.05;5.41;-0.13;5.19;4.47;0.18;4.85;-0.44;-0.02;-2.81;5.61;9167.55;0.26
35301;1769.15;0.05;5.09;-0.32;5.19;4.19;-0.29;4.85;-0.45;-0.01;-6.49;-3.69;9167.80;0.25
35302;1769.20;0.06;4.88;-0.21;5.19;3.98;-0.21;4.85;-0.45;-0.00;-3.85;2.64;9168.07;0.27
35303;1769.25;0.05;4.38;-0.49;5.19;3.99;0.01;4.85;-0.44;0.01;-10.75;-6.91;9168.27;0.20
35304;1769.30;0.05;4.26;-0.13;5.19;4.33;0.34;4.85;-0.44;0.00;-2.47;8.28;9168.48;0.22
35305;1769.35;0.05;4.56;0.30;5.19;4.48;0.16;4.85;-0.44;-0.01;5.82;8.30;9168.72;0.24
35306;1769.40;0.05;4.26;-0.30;5.19;4.18;-0.30;4.85;-0.40;0.05;-6.39;-12.21;9168.92;0.20
35307;1769.45;0.05;4.14;-0.12;5.19;3.95;-0.23;4.85;-0.34;0.06;-2.33;4.06;9169.13;0.21
35308;1769.50;0.05;4.05;-0.09;5.19;3.80;-0.15;4.85;-0.30;0.04;-1.83;0.50;9169.32;0.19
35309;1769.55;0.05;3.80;-0.25;5.19;3.74;-0.07;4.85;-0.23;0.07;-4.66;-2.83;9169.53;0.21
35310;1769.60;0.05;3.84;0.04;5.19;3.79;0.05;4.85;-0.18;0.05;0.78;5.44;9169.72;0.19
35311;1769.65;0.05;3.87;0.03;5.19;4.02;0.24;4.85;-0.14;0.04;0.62;-0.16;9169.91;0.19
35312;1769.70;0.05;4.22;0.35;5.19;4.27;0.25;4.85;-0.11;0.03;7.17;6.54;9170.12;0.21
35313;1769.76;0.06;4.33;0.11;5.19;4.52;0.25;4.85;-0.08;0.03;1.97;-5.19;9170.36;0.24
35314;1769.80;0.04;4.64;0.31;5.19;4.78;0.26;4.85;-0.08;-0.00;7.03;5.06;9170.56;0.20
35315;1769.85;0.05;4.82;0.18;5.19;5.03;0.25;4.85;-0.05;0.03;3.44;-3.59;9170.81;0.25
35316;1769.90;0.05;5.24;0.42;5.19;5.19;0.16;4.85;-0.03;0.02;8.48;5.04;9171.07;0.26
35317;1769.95;0.05;5.26;0.02;5.19;5.53;0.33;4.85;0.01;0.04;0.45;-8.02;9171.33;0.26
35318;1770.01;0.06;5.40;0.13;5.19;5.78;0.25;4.85;-0.04;-0.05;2.17;1.72;9171.65;0.32
35319;1770.05;0.04;5.75;0.35;5.19;6.03;0.26;4.85;-0.07;-0.03;8.44;6.27;9171.90;0.24
35320;1770.10;0.05;5.94;0.19;5.19;6.20;0.16;4.85;-0.07;0.00;3.93;-4.51;9172.18;0.29
35321;1770.15;0.05;6.47;0.53;5.19;6.45;0.25;4.85;-0.03;0.04;10.56;6.63;9172.50;0.32
35322;1770.20;0.05;6.51;0.04;5.19;6.70;0.25;4.85;0.01;0.05;0.78;-9.78;9172.84;0.33
35323;1770.25;0.05;6.74;0.24;5.19;6.96;0.26;4.85;0.05;0.03;4.84;4.07;9173.17;0.33
35324;1770.30;0.05;7.06;0.32;5.19;7.24;0.28;4.85;-0.01;-0.06;6.36;1.51;9173.52;0.35
35325;1770.35;0.05;7.21;0.15;5.19;7.46;0.22;4.85;-0.04;-0.03;2.81;-3.54;9173.91;0.39
35326;1770.40;0.05;7.39;0.18;5.19;7.71;0.25;4.85;-0.00;0.04;3.78;0.97;9174.26;0.35
35327;1770.45;0.05;7.67;0.28;5.19;7.86;0.15;4.85;0.03;0.04;5.80;2.02;9174.63;0.37
35328;1770.50;0.05;7.83;0.16;5.19;7.52;-0.35;4.85;0.01;-0.02;2.97;-2.83;9175.05;0.42
35329;1770.55;0.05;7.59;-0.24;5.19;7.15;-0.37;4.85;-0.01;-0.03;-5.08;-8.05;9175.40;0.36
35330;1770.60;0.05;7.45;-0.14;5.19;6.80;-0.35;4.85;-0.02;-0.00;-2.86;2.22;9175.76;0.36
35331;1770.65;0.05;7.22;-0.23;5.19;6.48;-0.32;4.85;-0.02;-0.01;-4.51;-1.65;9176.14;0.38
35332;1770.70;0.05;6.92;-0.30;5.19;5.90;-0.58;4.85;-0.02;-0.00;-5.40;-0.90;9176.52;0.38
35333;1770.75;0.05;6.73;-0.20;5.19;5.40;-0.50;4.85;-0.03;-0.00;-4.07;1.34;9176.84;0.32
35334;1770.80;0.05;6.39;-0.34;5.19;5.10;-0.29;4.85;-0.03;-0.00;-7.17;-3.10;9177.14;0.30
35335;1770.85;0.05;6.11;-0.28;5.19;4.63;-0.48;4.85;-0.04;-0.01;-5.58;1.58;9177.45;0.31
35336;1770.90;0.05;5.97;-0.14;5.19;4.44;-0.19;4.85;-0.05;-0.01;-2.82;2.77;9177.75;0.30
35337;1770.95;0.05;5.68;-0.29;5.19;4.22;-0.22;4.85;-0.06;-0.01;-5.74;-2.92;9178.03;0.28
35338;1771.00;0.05;5.54;-0.14;5.19;4.12;-0.10;4.85;-0.08;-0.02;-2.77;2.97;9178.31;0.28
35339;1771.05;0.05;5.27;-0.27;5.19;4.06;-0.05;4.85;-0.09;-0.01;-5.60;-2.83;9178.57;0.26
35340;1771.10;0.05;5.00;-0.27;5.19;4.12;0.06;4.85;-0.11;-0.01;-5.22;0.38;9178.83;0.26
35341;1771.15;0.05;4.88;-0.13;5.19;4.22;0.10;4.85;-0.11;-0.01;-2.45;2.77;9179.07;0.25
35342;1771.20;0.05;4.47;-0.41;5.19;4.35;0.13;4.85;-0.11;0.01;-8.20;-5.75;9179.30;0.22
35343;1771.25;0.05;4.50;0.03;5.19;4.45;0.10;4.85;-0.13;-0.02;0.68;8.89;9179.52;0.22
35344;1771.30;0.05;4.65;0.15;5.19;4.51;0.06;4.85;-0.12;0.01;2.84;2.16;9179.76;0.24
35345;1771.35;0.05;4.70;0.05;5.19;3.08;-1.43;4.85;-0.33;-0.21;1.04;-1.80;9179.98;0.23
35346;1771.40;0.05;4.42;-0.28;5.19;3.32;0.24;4.85;-0.32;0.01;-5.55;-6.59;9180.20;0.22
35347;1771.45;0.05;4.25;-0.16;5.19;3.57;0.25;4.85;-0.40;-0.07;-3.10;2.45;9180.43;0.23
35348;1771.50;0.05;3.85;-0.41;5.19;3.82;0.25;4.85;-0.43;-0.04;-8.49;-5.40;9180.61;0.18
35349;1771.55;0.05;4.12;0.28;5.19;4.07;0.25;4.85;-0.45;-0.01;5.53;14.02;9180.82;0.21
35350;1771.60;0.05;4.16;0.04;5.19;4.37;0.30;4.85;-0.40;0.05;0.79;-4.74;9181.02;0.20
35351;1771.65;0.05;4.34;0.18;5.19;4.60;0.22;4.85;-0.34;0.06;3.60;2.81;9181.24;0.22
35352;1771.70;0.05;4.63;0.29;5.19;4.80;0.20;4.85;-0.28;0.06;5.51;1.91;9181.48;0.25
35353;1771.75;0.05;4.72;0.09;5.19;4.41;-0.39;4.85;-0.17;0.10;1.83;-3.68;9181.71;0.22
35354;1771.80;0.05;4.57;-0.15;5.19;4.13;-0.28;4.85;-0.10;0.07;-2.90;-4.73;9181.93;0.23
35355;1771.85;0.05;4.32;-0.25;5.19;3.89;-0.24;4.85;-0.04;0.06;-5.65;-2.74;9182.13;0.19
35356;1771.90;0.06;4.04;-0.28;5.19;3.88;-0.01;4.85;-0.05;-0.01;-4.74;0.90;9182.37;0.24
35357;1771.95;0.05;3.97;-0.07;5.19;3.87;-0.01;4.85;-0.08;-0.03;-1.59;3.16;9182.55;0.18
35358;1772.00;0.05;4.15;0.18;5.19;4.02;0.14;4.85;-0.11;-0.03;3.54;5.13;9182.77;0.22
35359;1772.05;0.05;4.29;0.14;5.19;4.35;0.33;4.85;-0.12;-0.01;2.89;-0.65;9182.98;0.21
35360;1772.11;0.05;4.59;0.29;5.19;4.51;0.16;4.85;-0.16;-0.04;5.45;2.56;9183.22;0.25
35361;1772.15;0.05;4.71;0.12;5.19;4.57;0.07;4.85;-0.23;-0.07;2.70;-2.76;9183.44;0.22
35362;1772.20;0.05;4.63;-0.08;5.19;3.08;-1.50;4.85;-0.27;-0.04;-1.57;-4.27;9183.67;0.23
35363;1772.25;0.05;4.44;-0.20;5.19;3.24;0.16;4.85;-0.45;-0.17;-3.88;-2.30;9183.89;0.23
35364;1772.30;0.05;4.36;-0.07;5.19;3.49;0.25;4.85;-0.42;0.03;-1.48;2.39;9184.11;0.21
35365;1772.35;0.05;3.89;-0.47;5.19;3.78;0.29;4.85;-0.43;-0.01;-9.06;-7.58;9184.31;0.20
35366;1772.40;0.05;3.97;0.08;5.19;4.00;0.22;4.85;-0.43;-0.00;1.62;10.68;9184.51;0.20
35367;1772.46;0.06;4.10;0.13;5.19;4.33;0.33;4.85;-0.38;0.04;2.03;0.41;9184.77;0.26
35368;1772.50;0.03;4.51;0.41;5.19;4.50;0.17;4.85;-0.35;0.04;12.87;10.84;9184.91;0.14
35369;1772.55;0.05;4.74;0.23;5.19;4.75;0.25;4.85;-0.26;0.08;4.26;-8.61;9185.16;0.25
35370;1772.60;0.05;4.98;0.24;5.19;5.00;0.26;4.85;-0.15;0.11;4.63;0.37;9185.42;0.25
35371;1772.65;0.05;5.04;0.06;5.19;5.28;0.27;4.85;-0.03;0.12;1.22;-3.41;9185.67;0.25
35372;1772.70;0.05;5.24;0.20;5.19;5.45;0.17;4.85;0.00;0.03;3.93;2.71;9185.94;0.27
35373;1772.76;0.05;5.49;0.25;5.19;5.78;0.33;4.85;-0.05;-0.05;4.66;0.73;9186.24;0.30
35374;1772.81;0.05;5.78;0.29;5.19;5.97;0.19;4.85;-0.07;-0.02;5.94;1.28;9186.52;0.28
35375;1772.85;0.05;6.07;0.29;5.19;6.25;0.28;4.85;-0.05;0.02;6.44;0.50;9186.80;0.27
35376;1772.90;0.04;6.25;0.18;5.19;6.42;0.18;4.85;-0.04;0.01;3.96;-2.48;9187.08;0.28
35377;1772.95;0.06;6.59;0.34;5.19;6.67;0.25;4.85;-0.04;0.00;6.17;2.21;9187.44;0.36
35378;1773.01;0.05;6.79;0.19;5.19;7.02;0.34;4.85;-0.02;0.01;3.58;-2.59;9187.81;0.37
35379;1773.05;0.05;7.00;0.22;5.19;7.17;0.15;4.85;-0.02;0.01;4.72;1.14;9188.13;0.32
35380;1773.10;0.05;7.26;0.26;5.19;7.51;0.34;4.85;-0.01;0.01;5.11;0.39;9188.50;0.37
35381;1773.15;0.05;7.46;0.20;5.19;7.23;-0.29;4.85;-0.01;-0.00;4.04;-1.07;9188.86;0.37
35382;1773.20;0.05;7.32;-0.14;5.19;7.00;-0.22;4.85;-0.02;-0.01;-2.83;-6.87;9189.24;0.37
35383;1773.25;0.05;7.08;-0.24;5.19;6.68;-0.32;4.85;-0.02;0.00;-4.96;-2.14;9189.58;0.34
35384;1773.30;0.05;6.89;-0.19;5.19;6.27;-0.41;4.85;-0.02;0.00;-3.78;1.18;9189.92;0.34
35385;1773.35;0.05;6.71;-0.18;5.19;6.07;-0.21;4.85;-0.01;0.00;-3.56;0.22;9190.26;0.34
35386;1773.40;0.05;6.37;-0.35;5.19;5.69;-0.38;4.85;-0.02;-0.01;-6.65;-3.09;9190.59;0.33
35387;1773.45;0.05;6.17;-0.19;5.19;5.25;-0.44;4.85;-0.02;0.00;-3.72;2.93;9190.91;0.32
35388;1773.50;0.05;6.00;-0.17;5.19;4.95;-0.30;4.85;-0.01;0.01;-3.74;-0.02;9191.18;0.28
35389;1773.55;0.05;5.67;-0.33;5.19;4.63;-0.32;4.85;-0.01;-0.00;-6.43;-2.69;9191.47;0.29
35390;1773.60;0.05;5.44;-0.23;5.19;4.22;-0.41;4.85;-0.00;0.01;-4.55;1.88;9191.75;0.27
35391;1773.65;0.05;5.30;-0.15;5.19;4.03;-0.19;4.85;-0.02;-0.01;-3.05;1.49;9192.01;0.26
35392;1773.72;0.07;4.97;-0.32;5.19;3.78;-0.24;4.85;-0.04;-0.02;-4.86;-1.81;9192.33;0.33
35393;1773.75;0.03;4.83;-0.15;5.19;3.57;-0.22;4.85;-0.04;-0.00;-4.31;0.55;9192.50;0.16
35394;1773.80;0.05;4.47;-0.36;5.19;3.50;-0.07;4.85;-0.05;-0.01;-7.10;-2.80;9192.73;0.23
35395;1773.86;0.06;4.27;-0.20;5.19;3.32;-0.18;4.85;-0.07;-0.03;-3.41;3.70;9192.97;0.25
35396;1773.90;0.04;3.98;-0.28;5.19;3.25;-0.07;4.85;-0.08;-0.01;-6.78;-3.37;9193.14;0.17
35397;1773.95;0.05;3.80;-0.18;5.19;3.17;-0.08;4.85;-0.10;-0.02;-3.41;3.37;9193.34;0.20
35398;1774.00;0.05;3.53;-0.28;5.19;3.11;-0.06;4.85;-0.12;-0.02;-5.86;-2.45;9193.51;0.17
35399;1774.05;0.05;3.40;-0.13;5.19;3.08;-0.03;4.85;-0.16;-0.04;-2.65;3.21;9193.68;0.17
35400;1774.10;0.05;3.14;-0.25;5.19;3.08;0.00;4.85;-0.18;-0.02;-5.02;-2.37;9193.84;0.16
35401;1774.15;0.05;3.12;-0.03;5.19;3.08;0.00;4.85;-0.19;-0.02;-0.55;4.47;9193.99;0.16
35402;1774.20;0.05;3.13;0.01;5.19;3.08;0.00;4.85;-0.30;-0.10;0.20;0.76;9194.14;0.15
35403;1774.25;0.05;3.16;0.03;5.19;3.11;0.03;4.85;-0.35;-0.05;0.67;0.47;9194.30;0.16
35404;1774.30;0.05;3.06;-0.10;5.19;3.08;-0.03;4.85;-0.40;-0.05;-1.98;-2.66;9194.46;0.16
35405;1774.35;0.05;3.13;0.07;5.19;3.08;0.00;4.85;-0.42;-0.03;1.35;3.33;9194.61;0.15
35406;1774.40;0.05;3.03;-0.09;5.19;3.08;0.00;4.85;-0.41;0.01;-1.82;-3.18;9194.77;0.15
35407;1774.45;0.05;3.25;0.21;5.19;3.08;0.00;4.85;-0.37;0.04;4.11;5.93;9194.93;0.17
35408;1774.50;0.05;3.07;-0.18;5.19;3.30;0.22;4.85;-0.57;-0.20;-3.74;-7.85;9195.08;0.15
35409;1774.56;0.05;3.29;0.23;5.19;3.29;-0.01;4.85;-0.60;-0.03;4.20;7.94;9195.26;0.18
35410;1774.60;0.04;3.45;0.16;5.19;3.08;-0.21;4.85;-0.69;-0.09;3.45;-0.75;9195.41;0.16
35411;1774.65;0.05;3.02;-0.42;5.19;3.08;0.00;4.85;-0.76;-0.07;-8.46;-11.91;9195.57;0.15
35412;1774.70;0.05;3.11;0.08;5.19;3.08;0.00;4.85;-0.85;-0.09;1.67;10.13;9195.72;0.16
35413;1774.75;0.05;3.27;0.16;5.19;3.08;0.00;4.85;-0.91;-0.06;3.25;1.58;9195.88;0.16
35414;1774.80;0.05;2.91;-0.36;5.19;3.08;0.00;4.85;-0.93;-0.03;-7.27;-10.52;9196.03;0.15
35415;1774.85;0.05;3.37;0.46;5.19;3.08;0.00;4.85;-0.94;-0.01;9.08;16.34;9196.20;0.17
35416;1774.90;0.05;2.87;-0.50;5.19;3.08;0.00;4.85;-0.90;0.04;-10.14;-19.22;9196.34;0.14
35417;1774.95;0.05;2.95;0.08;5.19;3.08;0.00;4.85;-0.86;0.05;1.66;11.80;9196.49;0.15
35418;1775.00;0.05;3.36;0.41;5.19;3.08;0.00;4.85;-0.79;0.06;7.71;6.05;9196.67;0.18
35419;1775.05;0.05;3.09;-0.28;5.19;3.08;0.00;4.85;-0.73;0.06;-5.43;-13.14;9196.83;0.16
35420;1775.10;0.05;3.21;0.12;5.19;3.08;0.00;4.85;-0.66;0.07;2.62;8.05;9196.97;0.15
35421;1775.15;0.05;2.99;-0.22;5.19;3.08;0.00;4.85;-0.56;0.10;-3.99;-6.61;9197.14;0.16
35422;1775.20;0.05;3.09;0.10;5.19;3.08;0.00;4.85;-0.51;0.05;1.87;5.86;9197.29;0.16
35423;1775.25;0.05;3.00;-0.09;5.19;3.10;0.02;4.85;-0.47;0.04;-1.94;-3.81;9197.43;0.13
35424;1775.30;0.05;3.23;0.23;5.19;3.18;0.08;4.85;-0.44;0.03;4.46;6.40;9197.59;0.16
35425;1775.35;0.05;3.24;0.01;5.19;3.08;-0.10;4.85;-0.45;-0.01;0.21;-4.25;9197.75;0.16
35426;1775.42;0.07;3.24;-0.00;5.19;3.08;0.00;4.85;-0.56;-0.11;-0.00;-0.22;9197.97;0.22
35427;1775.45;0.03;3.29;0.05;5.19;3.08;0.00;4.85;-0.53;0.03;1.44;1.44;9198.08;0.11
35428;1775.50;0.05;3.02;-0.27;5.19;3.08;0.00;4.85;-0.51;0.02;-5.33;-6.76;9198.23;0.15
35429;1775.55;0.05;3.22;0.20;5.19;3.08;0.00;4.85;-0.58;-0.06;4.05;9.38;9198.39;0.16
35430;1775.60;0.05;3.29;0.07;5.19;3.33;0.25;4.85;-0.43;0.15;1.27;-2.78;9198.57;0.17
35431;1775.65;0.05;3.28;-0.01;5.19;3.58;0.26;4.85;-0.52;-0.09;-0.14;-1.40;9198.73;0.17
35432;1775.70;0.05;3.61;0.32;5.19;3.84;0.26;4.85;-0.60;-0.07;7.17;7.31;9198.90;0.16
35433;1775.76;0.06;3.55;-0.06;5.19;3.08;-0.76;4.85;-0.63;-0.04;-0.99;-8.16;9199.10;0.20
35434;1775.80;0.04;3.56;0.01;5.19;3.08;0.00;4.85;-0.67;-0.04;0.26;1.25;9199.25;0.15
35435;1775.85;0.05;3.33;-0.23;5.19;3.08;0.00;4.85;-0.66;0.01;-4.66;-4.92;9199.42;0.17
35436;1775.90;0.05;3.18;-0.15;5.19;3.17;0.09;4.85;-0.59;0.08;-2.90;1.76;9199.58;0.16
35437;1775.95;0.05;3.22;0.04;5.19;3.34;0.17;4.85;-0.50;0.09;0.85;3.75;9199.74;0.16
35438;1776.00;0.05;3.46;0.24;5.19;3.53;0.19;4.85;-0.40;0.10;4.74;3.89;9199.91;0.18
35439;1776.05;0.05;3.68;0.21;5.19;3.78;0.26;4.85;-0.22;0.18;4.16;-0.58;9200.10;0.19
35440;1776.10;0.05;3.73;0.06;5.19;4.03;0.25;4.85;-0.11;0.12;1.25;-2.91;9200.28;0.18
35441;1776.15;0.05;4.14;0.41;5.19;4.30;0.26;4.85;-0.03;0.08;8.00;6.75;9200.49;0.21
35442;1776.20;0.05;4.37;0.23;5.19;4.63;0.33;4.85;0.01;0.04;4.54;-3.46;9200.71;0.22
35443;1776.25;0.05;4.64;0.27;5.19;4.56;-0.07;4.85;0.00;-0.01;5.59;1.05;9200.94;0.22
35444;1776.31;0.06;4.59;-0.05;5.19;4.39;-0.17;4.85;0.01;0.00;-0.96;-6.55;9201.19;0.25
35445;1776.35;0.05;4.47;-0.12;5.19;4.23;-0.16;4.85;0.02;0.01;-2.62;-1.66;9201.40;0.21
35446;1776.40;0.05;4.29;-0.18;5.19;4.14;-0.10;4.85;0.01;-0.00;-3.71;-1.10;9201.61;0.21
35447;1776.45;0.05;4.15;-0.14;5.19;4.04;-0.10;4.85;0.02;0.01;-2.78;0.94;9201.81;0.21
35448;1776.50;0.05;4.06;-0.09;5.19;3.97;-0.07;4.85;0.02;0.00;-1.73;1.05;9202.02;0.21
35449;1776.55;0.05;4.02;-0.04;5.19;3.87;-0.11;4.85;0.05;0.02;-0.79;0.94;9202.22;0.20
35450;1776.60;0.05;3.91;-0.11;5.19;3.83;-0.04;4.85;0.06;0.01;-2.26;-1.47;9202.41;0.19
35451;1776.65;0.05;3.90;-0.01;5.19;3.81;-0.02;4.85;0.08;0.02;-0.25;2.01;9202.61;0.20
35452;1776.70;0.05;3.90;-0.00;5.19;3.73;-0.08;4.85;0.12;0.04;-0.00;0.25;9202.80;0.19
35453;1776.75;0.05;3.75;-0.15;5.19;3.52;-0.22;4.85;0.13;0.01;-3.14;-3.13;9202.98;0.18
35454;1776.80;0.05;3.58;-0.17;5.19;3.41;-0.10;4.85;0.15;0.01;-3.12;0.02;9203.18;0.19
35455;1776.85;0.05;3.47;-0.11;5.19;3.33;-0.08;4.85;0.16;0.02;-2.27;0.85;9203.34;0.17
35456;1776.90;0.05;3.38;-0.09;5.19;3.31;-0.02;4.85;0.18;0.02;-1.78;0.49;9203.51;0.17
35457;1776.95;0.05;3.33;-0.05;5.19;3.29;-0.02;4.85;0.21;0.02;-1.03;0.75;9203.68;0.17
35458;1777.00;0.05;3.34;0.01;5.19;3.18;-0.11;4.85;0.22;0.02;0.17;1.20;9203.86;0.18
35459;1777.05;0.05;3.26;-0.07;5.19;3.13;-0.06;4.85;0.23;0.00;-1.62;-1.79;9204.01;0.15
35460;1777.10;0.05;3.17;-0.09;5.19;3.10;-0.03;4.85;0.24;0.01;-1.88;-0.26;9204.17;0.16
35461;1777.15;0.05;3.21;0.04;5.19;3.26;0.16;4.85;0.26;0.02;0.79;2.66;9204.33;0.17
35462;1777.21;0.05;3.31;0.10;5.19;3.35;0.09;4.85;0.26;0.01;1.84;1.06;9204.51;0.18
35463;1777.25;0.05;3.35;0.04;5.19;3.27;-0.08;4.85;0.26;-0.00;0.84;-1.01;9204.67;0.16
35464;1777.30;0.05;3.39;0.04;5.19;3.31;0.04;4.85;0.26;0.00;0.94;0.10;9204.83;0.16
35465;1777.36;0.06;3.21;-0.19;5.19;3.11;-0.20;4.85;0.25;-0.01;-3.38;-4.32;9205.00;0.18
35466;1777.40;0.05;3.13;-0.08;5.19;3.08;-0.03;4.85;0.25;0.00;-1.62;1.76;9205.15;0.15
35467;1777.45;0.05;3.11;-0.02;5.19;3.08;0.00;4.85;0.26;0.01;-0.35;1.27;9205.30;0.15
35468;1777.50;0.05;3.11;-0.00;5.19;3.16;0.08;4.85;0.27;0.01;-0.05;0.30;9205.46;0.15
35469;1777.55;0.05;3.40;0.28;5.19;3.35;0.19;4.85;0.28;0.01;5.58;5.63;9205.63;0.17
35470;1777.60;0.05;3.48;0.08;5.19;3.40;0.04;4.85;0.27;-0.01;1.69;-3.89;9205.80;0.17
35471;1777.65;0.05;3.49;0.02;5.19;3.36;-0.03;4.85;0.25;-0.02;0.30;-1.39;9205.98;0.18
35472;1777.70;0.05;3.41;-0.08;5.19;3.09;-0.27;4.85;0.24;-0.02;-1.49;-1.79;9206.16;0.18
35473;1777.75;0.05;3.10;-0.31;5.19;3.18;0.09;4.85;0.25;0.01;-6.71;-5.22;9206.31;0.14
35474;1777.80;0.05;3.31;0.21;5.19;3.30;0.12;4.85;0.26;0.01;3.96;10.67;9206.48;0.17
35475;1777.86;0.06;3.55;0.24;5.19;3.38;0.08;4.85;0.27;0.00;4.00;0.04;9206.69;0.21
35476;1777.90;0.04;3.38;-0.17;5.19;3.21;-0.17;4.85;0.24;-0.02;-4.39;-8.39;9206.82;0.13
35477;1777.95;0.05;3.38;0.00;5.19;3.41;0.20;4.85;0.25;0.01;0.05;4.44;9206.98;0.17
35478;1778.00;0.05;3.57;0.20;5.19;3.59;0.17;4.85;0.26;0.00;3.90;3.86;9207.16;0.18
